ID_registro,ano,mes,ID_indicador,ID_cooperativa,valor
148,2024,7,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
149,2024,7,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
151,2024,8,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
152,2024,8,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
154,2024,9,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
155,2024,9,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
157,2024,10,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
158,2024,10,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
160,2024,11,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
161,2024,11,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
163,2024,12,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
164,2024,12,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
165,2025,1,Quebranto Patrimonial,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,1.2211923063632872
167,2025,1,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.5246684738838013
168,2025,1,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0735166750745344
169,2025,2,Quebranto Patrimonial,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,1.250050462167555
171,2025,2,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.5249203855798907
172,2025,2,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0844372883542263
173,2025,3,Quebranto Patrimonial,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,1.220793171071224
175,2025,3,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.5237961229040325
176,2025,3,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0822602161080862
177,2025,4,Quebranto Patrimonial,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,1.2521699510627549
